Id,Actor_id,Film_id,Character,Role
1,3748,tm84618,Travis Bickle,ACTOR
2,14658,tm84618,Iris Steensma,ACTOR
3,7064,tm84618,Tom,ACTOR
4,3739,tm84618,Matthew 'Sport' Higgins,ACTOR
5,48933,tm84618,Betsy,ACTOR
6,32267,tm84618,Wizard,ACTOR
7,519612,tm84618,Senator Charles Palantine,ACTOR
8,29068,tm84618,Concession Girl,ACTOR
9,519613,tm84618,Policeman at Rally,ACTOR
10,3308,tm84618,Passenger Watching Silhouette,ACTOR
11,43791,tm84618,Iris' Time Keeper,ACTOR
12,519614,tm84618,Secret Service Agent,ACTOR
13,519615,tm84618,Tom's Assistant (uncredited),ACTOR
14,82426,tm84618,Mafioso (uncredited),ACTOR
15,20935,tm84618,"Melio, Delicatessen Owner",ACTOR
16,7753,tm84618,Personell Officer,ACTOR
17,43279,tm84618,Angry Black Man (uncredited),ACTOR
18,519616,tm84618,Soap Opera Woman (uncredited),ACTOR
19,8424,tm84618,Charlie T,ACTOR
20,20447,tm84618,Doughboy,ACTOR
21,519618,tm84618,Campaign Worker (uncredited),ACTOR
22,49567,tm84618,Andy - Gun Salesman,ACTOR
23,15551,tm84618,The John,ACTOR
24,475303,tm84618,Palantine's Aide (uncredited),ACTOR
25,43540,tm84618,T.V. Interviewer (uncredited),ACTOR
26,466061,tm84618,Campaign Worker (uncredited),ACTOR
27,212023,tm84618,Political rallier (uncredited),ACTOR
28,5367,tm84618,Campaign Aide (uncredited),ACTOR
29,17421,tm84618,Girl at Columbus Circle (uncredited),ACTOR
30,38141,tm84618,Policeman (uncredited),ACTOR
31,811415,tm84618,Hooker in Cab,ACTOR
32,1141852,tm84618,Iris' friend,ACTOR
33,1662310,tm84618,Stick-aup Man,ACTOR
34,1393387,tm84618,Iris' Friend (uncredited),ACTOR
35,9446,tm84618,Iris' Mother (newspaper article) (uncredited),ACTOR
36,9451,tm84618,Iris' Father (newspaper article) (uncredited),ACTOR
37,3308,tm84618,unknown,DIRECTOR
38,10103,tm154986,Ed Gentry,ACTOR
39,13020,tm154986,Lewis Medlock,ACTOR
40,6639,tm154986,Bobby Trippe,ACTOR
41,11224,tm154986,Drew Ballinger,ACTOR
42,24509,tm154986,Old Man at the Gas-Station,ACTOR
43,80069,tm154986,Lonnie - The Banjo Boy,ACTOR
44,84032,tm154986,First Griner,ACTOR
45,84031,tm154986,Second Griner,ACTOR
46,7918,tm154986,Mountain Man,ACTOR
47,197405,tm154986,Toothless Man,ACTOR
48,618692,tm154986,First Deputy,ACTOR
49,618691,tm154986,Second Deputy,ACTOR
50,498130,tm154986,Ambulance Driver,ACTOR
51,618690,tm154986,Doctor,ACTOR
52,217036,tm154986,Nurse,ACTOR
53,618689,tm154986,Mrs. Biddiford,ACTOR
54,618688,tm154986,Taxi Driver,ACTOR
55,24510,tm154986,Sheriff Bullard,ACTOR
56,53804,tm154986,Deputy Queen,ACTOR
57,618687,tm154986,Boy at Gas Station,ACTOR
58,37993,tm154986,Martha Gentry,ACTOR
59,100262,tm154986,Ed's Boy,ACTOR
60,17727,tm154986,unknown,DIRECTOR
61,11472,tm127384,King Arthur / Voice of God / Middle Head / Hiccoughing Guard,ACTOR
