title,Genre,Premiere,Runtime,IMDB Score,Language,id,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
Enter the Anime,Documentary,"August 5, 2019",58,2.5,English/Japanese,tm821164,MOVIE,"What is anime? Through deep-dives with notable masterminds of this electrifying genre, this fast-paced documentary seeks to find the answers.",2019.0,,58.0,['documentation'],"['US', 'JP']",,tt10662450,2.6,1647.0,4.75,5.7
Dark Forces,Thriller,"August 21, 2020",81,2.6,Spanish,tm925785,MOVIE,"In search of his sister, a renegade criminal seeks answers at a sordid hotel where he encounters a sinister guest and romances a mysterious waitress.",2020.0,,81.0,"['horror', 'thriller', 'action']",['MX'],,tt12536776,2.7,597.0,4.03,4.3
The App,Science fiction/Drama,"December 26, 2019",79,2.6,Italian,tm847630,MOVIE,"Loving girlfriend, family fortune, breakout movie role: he's got it all. Until an app awakens a powerful new yearning. While in Rome to shoot his first movie, actor and industrial heir Niccolò becomes obsessed with the dating app ""US"" that sends him into a self-destructive spiral.",2019.0,,79.0,"['drama', 'scifi', 'thriller']",['IT'],,tt11385066,2.7,1347.0,7.473,2.9
The Open House,Horror thriller,"January 19, 2018",94,3.2,English,tm357820,MOVIE,A teenager and his mother find themselves besieged by threatening forces when they move into a new house.,2018.0,,94.0,"['thriller', 'horror']",['US'],,tt7608028,3.3,34156.0,13.15,3.7
Kaali Khuhi,Mystery,"October 30, 2020",90,3.4,Hindi,tm940566,MOVIE,"When a restless spirit curses a Punjab village that has a history of female infanticide, the town's fate lies in the hands of a 10-year old girl, Shivangi.",2020.0,,90.0,"['thriller', 'horror', 'drama']",['IN'],,tt10235600,3.5,1230.0,1.95,4.8
Drive,Action,"November 1, 2019",147,3.5,Hindi,tm366245,MOVIE,A getaway driver is attracted to a female neighbor whose husband owes money to a local gangster. As a result he is drawn deeper into a dangerous underworld.,2019.0,,147.0,"['thriller', 'crime', 'drama', 'action']",['IN'],,tt6593054,3.1,7671.0,19.937,5.4
Leyla Everlasting,Comedy,"December 4, 2020",112,3.7,Turkish,tm854261,MOVIE,"A resilient housewife, her husband and their marriage therapist become mired in a toxic love triangle and a plot to obtain an antique manuscript.",2020.0,,112.0,['comedy'],['TR'],,tt11792734,3.7,7499.0,2.482,3.8
The Last Days of American Crime,Heist film/Thriller,"June 5, 2020",149,3.7,English,tm888080,MOVIE,"In the not-too-distant future, as a final response to crime and terrorism, the U.S. government plans to broadcast a signal that will make it impossible for anyone to knowingly break the law.",2020.0,,149.0,"['action', 'crime', 'thriller', 'scifi', 'drama']",['US'],,tt1552211,3.7,11465.0,9.916,6.7
Paradox,Musical/Western/Fantasy,"March 23, 2018",73,3.9,English,tm370440,MOVIE,A loud poem. A whimsical western tale of music and love.,2018.0,,73.0,"['western', 'fantasy', 'music']",['US'],,tt7949046,3.9,713.0,5.157,3.6
Sardar Ka Grandson,Comedy,"May 18, 2021",139,4.1,Hindi,tm1036797,MOVIE,"A devoted grandson's mission to reunite his ailing grandmother with her ancestral home turns into a complicated, comic cross-border affair.",2021.0,,140.0,"['comedy', 'drama', 'romance']",['IN'],,tt11213600,4.2,4539.0,5.578,7.3
Searching for Sheela,Documentary,"April 22, 2021",58,4.1,English,tm1033803,MOVIE,Journalists and fans await Ma Anand Sheela as the infamous former Rajneesh commune's spokesperson returns to India after decades for an interview tour.,2021.0,,58.0,"['documentation', 'crime']",['IN'],,tt14167424,4.3,1360.0,5.135,5.9
The Call,Drama,"November 27, 2020",112,4.1,Korean,tm171042,MOVIE,"Jordan Turner is an experienced 911 operator but when she makes an error in judgment and a call ends badly, Jordan is rattled and unsure if she can continue. But when teenager Casey Welson is abducted in the back of a man's car and calls 911, Jordan is the one called upon to use all of her experience, insights and quick thinking to help Casey escape, and not just to save her, but to make sure the man is brought to justice.",2013.0,R,94.0,"['thriller', 'crime', 'drama', 'horror', 'action', 'european']",['US'],,tt1911644,6.7,121843.0,41.764,6.8
The Call,Drama,"November 27, 2020",112,4.1,Korean,tm453862,MOVIE,"Connected by phone in the same home but 20 years apart, a serial killer puts another woman’s past — and life — on the line to change her own fate.",2020.0,,112.0,"['scifi', 'thriller', 'drama', 'crime', 'horror']",['KR'],,tt10530176,7.1,30772.0,33.987,7.6
Whipped,Romantic comedy,"September 18, 2020",97,4.1,Indonesian,tm843143,MOVIE,Four buddies attend a class taught by a love guru who leads them to question their romantic attachments — until her hidden agenda comes to light.,2020.0,,97.0,"['drama', 'romance', 'comedy']",['ID'],,tt11754464,4.0,642.0,2.293,6.4
All Because of You,Action comedy,"October 1, 2020",101,4.2,Malay,tm938434,MOVIE,"After falling for a guest, an unsuspecting hotel staff becomes embroiled in a hostage scheme and discovers true love in an unlikely place.",2020.0,,101.0,"['romance', 'comedy', 'action']",['MY'],,tt13106900,3.9,218.0,2.519,6.6
Mercy,Thriller,"November 22, 2016",90,4.2,English,tm239947,MOVIE,"Brought together at their childhood home over their dying mother, an estranged family is thrust into a deadly fight for their own survival.",2016.0,,82.0,"['thriller', 'drama']",['US'],,tt5710042,4.1,3476.0,7.517,4.2
After the Raid,Documentary,"December 19, 2019",25,4.3,Spanish,tm845370,MOVIE,"A large immigration raid in a small Tennessee town leaves emotional fallout as well as far-reaching questions about justice, faith and humanity.",2019.0,,25.0,['documentation'],"['MX', 'US']",,,,,2.196,5.4
Ghost Stories,Horror anthology,"January 1, 2020",144,4.3,Hindi,tm848663,MOVIE,An anthology of four short horror tales.,2020.0,,144.0,['horror'],['IN'],,,,,4.35,5.2
The Last Thing He Wanted,Political thriller,"February 21, 2020",115,4.3,English,tm464351,MOVIE,"At the turning point of the Iran-Contra affair, Elena McMahon, a fearless investigative journalist covering the 1984 US presidential campaign, puts herself in danger when she abandons her assigned task in order to fulfill the last wish of her ailing father, a mysterious man whose past activities she barely knows.",2020.0,R,116.0,"['thriller', 'crime', 'drama']","['GB', 'US']",,tt7456312,4.3,15238.0,12.128,4.9
What Happened to Mr. Cha?,Comedy,"January 1, 2021",102,4.3,Korean,,,,,,,,,,,,,,
Death Note,Horror thriller,"August 25, 2017",100,4.4,English,tm217228,MOVIE,"A young man comes to possess a supernatural notebook, the Death Note, that grants him the power to kill any person simply by writing down their name on the pages. He then decides to use the notebook to kill criminals and change the world, but an enigmatic detective attempts to track him down and end his reign of terror.",2017.0,NC-17,101.0,"['horror', 'thriller', 'crime', 'fantasy', 'drama', 'action']",['US'],,tt1241317,4.5,84119.0,22.306,4.2
"Hello Privilege. It's Me, Chelsea",Documentary,"September 13, 2019",64,4.4,English,,,,,,,,,,,,,,
