Film_id,Title,Premiere,Runtime,Genres,Language,Type,Description,Age_certification,IMDB_id,IMDB_score,IMDB_votes,TMDB_score,TMDB_votes
tm821164,Enter the Anime,"August 5, 2019",58,Documentary,English/Japanese,MOVIE,"What is anime? Through deep-dives with notable masterminds of this electrifying genre, this fast-paced documentary seeks to find the answers.",UNKNOWN,tt10662450,2.5,1647.0,5.7,4.75
tm925785,Dark Forces,"August 21, 2020",81,"Horror, Action, Thriller, Mystery",Spanish,MOVIE,"In search of his sister, a renegade criminal seeks answers at a sordid hotel where he encounters a sinister guest and romances a mysterious waitress.",UNKNOWN,tt12536776,2.6,597.0,4.3,4.03
tm847630,The App,"December 26, 2019",79,"Drama, Science Fiction",Italian,MOVIE,"Loving girlfriend, family fortune, breakout movie role: he's got it all. Until an app awakens a powerful new yearning. While in Rome to shoot his first movie, actor and industrial heir Niccolò becomes obsessed with the dating app ""US"" that sends him into a self-destructive spiral.",UNKNOWN,tt11385066,2.6,1347.0,2.9,7.473
tm357820,The Open House,"January 19, 2018",94,"Horror, Thriller",English,MOVIE,A teenager and his mother find themselves besieged by threatening forces when they move into a new house.,UNKNOWN,tt7608028,3.2,34156.0,3.7,13.15
tm940566,Kaali Khuhi,"October 30, 2020",90,"Horror, Drama, Thriller",Hindi,MOVIE,"When a restless spirit curses a Punjab village that has a history of female infanticide, the town's fate lies in the hands of a 10-year old girl, Shivangi.",UNKNOWN,tt10235600,3.4,1230.0,4.8,1.95
tm366245,Drive,"November 1, 2019",147,"Drama, Thriller, Crime",Hindi,MOVIE,A getaway driver is attracted to a female neighbor whose husband owes money to a local gangster. As a result he is drawn deeper into a dangerous underworld.,UNKNOWN,tt6593054,3.5,7671.0,5.4,19.937
tm854261,Leyla Everlasting,"December 4, 2020",112,Comedy,Turkish,MOVIE,"A resilient housewife, her husband and their marriage therapist become mired in a toxic love triangle and a plot to obtain an antique manuscript.",UNKNOWN,tt11792734,3.7,7499.0,3.8,2.482
tm888080,The Last Days of American Crime,"June 5, 2020",149,"Action, Crime, Thriller",English,MOVIE,"In the not-too-distant future, as a final response to crime and terrorism, the U.S. government plans to broadcast a signal that will make it impossible for anyone to knowingly break the law.",UNKNOWN,tt1552211,3.7,11465.0,6.7,9.916
tm370440,Paradox,"March 23, 2018",73,"Action, Science Fiction",English,MOVIE,A loud poem. A whimsical western tale of music and love.,UNKNOWN,tt7949046,3.9,713.0,3.6,5.157
tm1036797,Sardar Ka Grandson,"May 18, 2021",139,"Comedy, Drama, Romance, Family",Hindi,MOVIE,"A devoted grandson's mission to reunite his ailing grandmother with her ancestral home turns into a complicated, comic cross-border affair.",UNKNOWN,tt11213600,4.1,4539.0,7.3,5.578
tm1033803,Searching for Sheela,"April 22, 2021",58,Documentary,English,MOVIE,Journalists and fans await Ma Anand Sheela as the infamous former Rajneesh commune's spokesperson returns to India after decades for an interview tour.,UNKNOWN,tt14167424,4.1,1360.0,5.9,5.135
tm171042,The Call,"November 27, 2020",112,"Crime, Thriller",Korean,MOVIE,"Jordan Turner is an experienced 911 operator but when she makes an error in judgment and a call ends badly, Jordan is rattled and unsure if she can continue. But when teenager Casey Welson is abducted in the back of a man's car and calls 911, Jordan is the one called upon to use all of her experience, insights and quick thinking to help Casey escape, and not just to save her, but to make sure the man is brought to justice.",r,tt1911644,4.1,121843.0,6.8,41.764
tm453862,The Call,"November 27, 2020",112,"Crime, Thriller",Korean,MOVIE,"Connected by phone in the same home but 20 years apart, a serial killer puts another woman’s past — and life — on the line to change her own fate.",UNKNOWN,tt10530176,4.1,30772.0,7.6,33.987
tm843143,Whipped,"September 18, 2020",97,"Comedy, Romance",Indonesian,MOVIE,Four buddies attend a class taught by a love guru who leads them to question their romantic attachments — until her hidden agenda comes to light.,UNKNOWN,tt11754464,4.1,642.0,6.4,2.293
tm938434,All Because of You,"October 1, 2020",101,"Comedy, Action, Romance",Malay,MOVIE,"After falling for a guest, an unsuspecting hotel staff becomes embroiled in a hostage scheme and discovers true love in an unlikely place.",UNKNOWN,tt13106900,4.2,218.0,6.6,2.519
