Film_id,Title,Premiere,Runtime,Genres,Language,Type,Description,Age_certification,IMDB_id,IMDB_score,IMDB_votes,TMDB_score,TMDB_votes,comentarios
tm821164,Enter the Anime,"August 5, 2019",58,Documentary,English/Japanese,MOVIE,"What is anime? Through deep-dives with notable masterminds of this electrifying genre, this fast-paced documentary seeks to find the answers.",UNKNOWN,tt10662450,2.5,1647.0,5.7,4.75,"{'imdb_id': 'tt10662450', 'comentarios': [{'review': 'Terrible', 'rating': '1/10'}, {'review': '""It all started with Castlevania""', 'rating': '1/10'}, {'review': 'Netflix commercial disguised as a documentary', 'rating': '3/10'}, {'review': 'Not very good', 'rating': '1/10'}, {'review': 'Goes nowhere, does nothing', 'rating': '2/10'}, {'review': 'Very misleading, feels forced', 'rating': '1/10'}, {'review': '50 minute netflix ad', 'rating': '1/10'}, {'review': 'Capable filmmaker, in over her head', 'rating': '2/10'}, {'review': 'A waste of time', 'rating': '2/10'}, {'review': 'Not worthy of your time', 'rating': '2/10'}, {'review': 'Anime fans, save your rage and do not watch this', 'rating': '1/10'}, {'review': ""Don't waste your time"", 'rating': '1/10'}, {'review': 'Ignorant narrator', 'rating': '1/10'}, {'review': 'Logan Paul goes to Japan', 'rating': '1/10'}, {'review': 'PURE NETFLIX AD', 'rating': '1/10'}, {'review': 'Promotional video', 'rating': '1/10'}, {'review': 'Advert called a documentary about anime', 'rating': '1/10'}, {'review': ""It's no wonder Netflix is going under"", 'rating': '1/10'}, {'review': 'Mmm. just... just not good.', 'rating': '1/10'}, {'review': 'Enter the (Netflix original anime series) Anime', 'rating': '1/10'}, {'review': 'Terrible', 'rating': '1/10'}, {'review': 'Enter the Netflix Anime', 'rating': '3/10'}, {'review': 'Terrible..the cringe is real!', 'rating': '2/10'}, {'review': ""Please don't bother"", 'rating': '1/10'}, {'review': 'Enter the Annoying Narrator', 'rating': '2/10'}]}"
tm925785,Dark Forces,"August 21, 2020",81,"Horror, Action, Thriller, Mystery",Spanish,MOVIE,"In search of his sister, a renegade criminal seeks answers at a sordid hotel where he encounters a sinister guest and romances a mysterious waitress.",UNKNOWN,tt12536776,2.6,597.0,4.3,4.03,"{'imdb_id': 'tt12536776', 'comentarios': [{'review': 'Litterly a bad joke', 'rating': '2/10'}, {'review': 'To suck or not to suck', 'rating': '6/10'}, {'review': 'Please, please, please people! Save your precious time', 'rating': '1/10'}, {'review': 'WORTH A WATCH', 'rating': '5/10'}, {'review': 'BORING and FOREVER TAKING', 'rating': '1/10'}, {'review': 'Beautiful is to say the least', 'rating': '8/10'}, {'review': 'netflix rules', 'rating': '1/10'}, {'review': 'This movie is incredible bad', 'rating': '1/10'}, {'review': 'Boring and Irritating', 'rating': '1/10'}, {'review': 'Better than at first glance', 'rating': '8/10'}, {'review': 'Confusing, but Cinematic', 'rating': '6/10'}, {'review': 'So Bad almost Funny', 'rating': '1/10'}, {'review': 'WTF? Very weird but I liked it.', 'rating': '8/10'}, {'review': 'Held my interest down to the weak ending', 'rating': '3/10'}, {'review': 'Well shot but confusing', 'rating': '4/10'}, {'review': 'If you like David Lynch, watch this movie', 'rating': '8/10'}, {'review': 'Mute this movie to make it better', 'rating': '1/10'}, {'review': ""Don't waste your time!!!!"", 'rating': '1/10'}, {'review': ""Basically a gift to Tenoch Huerta's fans"", 'rating': '5/10'}, {'review': 'Fuego Negro', 'rating': '7/10'}, {'review': 'Netflix needs to Identify Language Of Film.', 'rating': '1/10'}, {'review': 'Khan Review', 'rating': '2/10'}, {'review': 'Not bad', 'rating': '10/10'}, {'review': 'Trash film', 'rating': '1/10'}, {'review': 'Best movie ever', 'rating': '10/10'}]}"
tm847630,The App,"December 26, 2019",79,"Drama, Science Fiction",Italian,MOVIE,"Loving girlfriend, family fortune, breakout movie role: he's got it all. Until an app awakens a powerful new yearning. While in Rome to shoot his first movie, actor and industrial heir Niccolò becomes obsessed with the dating app ""US"" that sends him into a self-destructive spiral.",UNKNOWN,tt11385066,2.6,1347.0,2.9,7.473,"{'imdb_id': 'tt11385066', 'comentarios': [{'review': 'Terrible', 'rating': '1/10'}, {'review': ""There's bad, and there's this."", 'rating': '1/10'}, {'review': 'Brutally dull.', 'rating': '2/10'}, {'review': 'Delete this!', 'rating': '1/10'}, {'review': ""it's not good film"", 'rating': '2/10'}, {'review': 'Pure crap', 'rating': '1/10'}, {'review': 'It was absolutely terrible', 'rating': '1/10'}, {'review': 'Impressively terrible', 'rating': '1/10'}, {'review': 'wasted too much time of my life with this', 'rating': '1/10'}, {'review': 'Nonsense', 'rating': '1/10'}, {'review': 'Not Sure why Netflixo Made this Clunker', 'rating': '1/10'}, {'review': 'waste of time', 'rating': '1/10'}, {'review': ""Don't bother. Waste of time."", 'rating': '1/10'}, {'review': 'Absolutely horrible!!', 'rating': '1/10'}, {'review': 'Animal abuse!!', 'rating': '1/10'}, {'review': 'Waste of time', 'rating': '1/10'}, {'review': 'Nothing good about this film.', 'rating': '1/10'}, {'review': 'Self destructive Obsession', 'rating': '7/10'}, {'review': 'Glued to the screen', 'rating': '5/10'}, {'review': 'Give me my time back!', 'rating': '1/10'}, {'review': 'The only nice thing was seeing a bit of Rome', 'rating': '1/10'}, {'review': 'Not Good', 'rating': '2/10'}, {'review': 'Watched it just to practice Italian comprehension.', 'rating': '4/10'}, {'review': 'Awful', 'rating': '1/10'}, {'review': 'Greta Scarano 1:0 The App', 'rating': '2/10'}]}"
tm357820,The Open House,"January 19, 2018",94,"Horror, Thriller",English,MOVIE,A teenager and his mother find themselves besieged by threatening forces when they move into a new house.,UNKNOWN,tt7608028,3.2,34156.0,3.7,13.15,"{'imdb_id': 'tt7608028', 'comentarios': [{'review': 'How many of you went ""BOOOOOOOO!!!"" at that finish', 'rating': '4/10'}, {'review': 'The Open House: Just when I think Netflix is redeeming itself it releases something like this.....', 'rating': '2/10'}, {'review': 'Never been so angry or disappointed in a film...EVER', 'rating': '1/10'}, {'review': 'My first 2018 Review Of Pure Crap', 'rating': '1/10'}, {'review': 'Waste of Time', 'rating': '3/10'}, {'review': 'Ends up being a frustrating watch', 'rating': '4/10'}, {'review': 'Average Film Thats Been Done A Million Times, With No Resolution', 'rating': '1/10'}, {'review': ""Spoiler Alerts Don't Matter Because There Is Nothing To Spoil"", 'rating': '1/10'}, {'review': 'A total BS of a movie', 'rating': '2/10'}, {'review': 'Error 404: story not found', 'rating': '2/10'}, {'review': 'One house not worth opening', 'rating': '1/10'}, {'review': 'Save yourself some time..', 'rating': '2/10'}, {'review': 'Terrible, Sad use of such good actors', 'rating': '1/10'}, {'review': 'Worst movie... Ever. Like ever ever.', 'rating': '5/10'}, {'review': 'Felt let down at the end', 'rating': '1/10'}, {'review': 'No logic whatsoever', 'rating': '1/10'}, {'review': 'The Worst Movie I Have Watched In A Long Time!', 'rating': '1/10'}, {'review': 'If I could get a refund I would!', 'rating': '1/10'}, {'review': 'if I could give it no stars I would', 'rating': '1/10'}, {'review': ""Netflix, why? Don't waste your time"", 'rating': '1/10'}, {'review': 'What.the.fudge', 'rating': '1/10'}, {'review': 'I opened an IMDB account to give this one star', 'rating': '1/10'}, {'review': 'Sheer Unadulterated Garbage', 'rating': '1/10'}, {'review': 'Run away!', 'rating': '1/10'}, {'review': 'Do not watch this movie.', 'rating': 'Sin calificación'}]}"
tm940566,Kaali Khuhi,"October 30, 2020",90,"Horror, Drama, Thriller",Hindi,MOVIE,"When a restless spirit curses a Punjab village that has a history of female infanticide, the town's fate lies in the hands of a 10-year old girl, Shivangi.",UNKNOWN,tt10235600,3.4,1230.0,4.8,1.95,"{'imdb_id': 'tt10235600', 'comentarios': [{'review': 'Boring jumbled mess of a film. The makers were confused whether to make a horror film or a thought provoking drama.', 'rating': '3/10'}, {'review': 'Senseless!!', 'rating': '1/10'}, {'review': 'Worst ever in every sense', 'rating': '1/10'}, {'review': 'Bad Netflix movie again', 'rating': '1/10'}, {'review': 'Atmospheric and eerie slow burn horror', 'rating': '7/10'}, {'review': 'Netflix please stop', 'rating': '2/10'}, {'review': 'Great start but lost somewhere in the fog', 'rating': '6/10'}, {'review': 'Netflix, time to fire you!!! Spare us', 'rating': '1/10'}, {'review': 'Nonsensical', 'rating': '1/10'}, {'review': 'CRIMINALLY UNDERRATED!!!', 'rating': '10/10'}, {'review': 'Waste of Bandwidth! Waste of time and Money!', 'rating': '1/10'}, {'review': 'Absolute nonsense and thoughtless direction', 'rating': '1/10'}, {'review': 'Such an idiotic movie', 'rating': '1/10'}, {'review': 'Below Expectations', 'rating': '5/10'}, {'review': 'Hauntingly Original Ghost Story', 'rating': '10/10'}, {'review': 'ugly', 'rating': '1/10'}, {'review': 'The Black Well', 'rating': '8/10'}, {'review': 'Technical Brilliance But Only Faintly Haunting / Grade D', 'rating': '3/10'}, {'review': ""I wish I could give 0 stars but that's not an option here"", 'rating': '1/10'}, {'review': 'Flawed, but good watch', 'rating': '7/10'}, {'review': 'Pathetic', 'rating': '1/10'}, {'review': 'Beautifully filmed, ignore negative reviews', 'rating': '9/10'}, {'review': 'Surreal, creepy feminist tale shot beautifully', 'rating': '10/10'}, {'review': 'Uncomfortable viewing should not mean low rating', 'rating': '6/10'}, {'review': 'No story. No any sense', 'rating': '1/10'}]}"
tm366245,Drive,"November 1, 2019",147,"Drama, Thriller, Crime",Hindi,MOVIE,A getaway driver is attracted to a female neighbor whose husband owes money to a local gangster. As a result he is drawn deeper into a dangerous underworld.,UNKNOWN,tt6593054,3.5,7671.0,5.4,19.937,"{'imdb_id': 'tt6593054', 'comentarios': [{'review': 'WORST MOVIE EVER', 'rating': '1/10'}, {'review': 'Better than SAAHO', 'rating': '6/10'}, {'review': '10 stars only for Sushant', 'rating': '10/10'}, {'review': 'If IMDb had a zero rating, Drive would get it.', 'rating': '1/10'}, {'review': 'Why? God why?', 'rating': '3/10'}, {'review': 'Disgrace', 'rating': '1/10'}, {'review': 'Nice movie.', 'rating': '10/10'}, {'review': ""Don't Drive"", 'rating': '1/10'}, {'review': 'Bogus Movie 👎', 'rating': '2/10'}, {'review': 'Would have been better if Yash Raj films produced it', 'rating': '7/10'}, {'review': 'Sushant singh rajput', 'rating': '10/10'}, {'review': 'RACE 3 PART 2', 'rating': '2/10'}, {'review': 'Capsule Review: Drive (3 Stars)', 'rating': '3/10'}, {'review': 'Perfect example of what happens to a film when it gets delayed', 'rating': '1/10'}, {'review': ""After watching this, even Salman Khan's movie will feel more LOGICAL and sensible"", 'rating': '1/10'}, {'review': 'Waste of time', 'rating': '3/10'}, {'review': 'Kjo should be banned from making movies', 'rating': '1/10'}, {'review': 'Cleaned my eyes with harpic', 'rating': '4/10'}, {'review': 'Worst Movie Ever', 'rating': '1/10'}, {'review': 'Utterly failed attempt to make a good movie', 'rating': '1/10'}, {'review': 'Calling it awful would be an understatement!', 'rating': '1/10'}, {'review': 'A kind of indian version of Casa Del Papel', 'rating': '4/10'}, {'review': 'Full bakwas', 'rating': '1/10'}, {'review': 'Pathetic', 'rating': '1/10'}, {'review': 'Highly predictable and cliche movie!', 'rating': '2/10'}]}"
tm854261,Leyla Everlasting,"December 4, 2020",112,Comedy,Turkish,MOVIE,"A resilient housewife, her husband and their marriage therapist become mired in a toxic love triangle and a plot to obtain an antique manuscript.",UNKNOWN,tt11792734,3.7,7499.0,3.8,2.482,"{'imdb_id': 'tt11792734', 'comentarios': [{'review': 'Unfortunately Disappointing', 'rating': '5/10'}, {'review': 'Rezalet', 'rating': '1/10'}, {'review': 'Sorry for Haluk ""abi""', 'rating': '2/10'}, {'review': 'Great casting & awful movie', 'rating': '1/10'}, {'review': 'A good surreal humour', 'rating': '8/10'}, {'review': 'WASTE OF TIME', 'rating': '1/10'}, {'review': ""Don't let the ratings fool you!"", 'rating': '10/10'}, {'review': ""Couldn't finish"", 'rating': '1/10'}, {'review': 'Pathetic', 'rating': '1/10'}, {'review': ""Director probably didn't watch the movie!"", 'rating': '2/10'}, {'review': 'Waste of time', 'rating': '2/10'}, {'review': 'Cheesy Trash', 'rating': '1/10'}, {'review': 'HORRIBLE. I am so sorry for Demet Akbag.', 'rating': '1/10'}, {'review': 'The film was very spectacular', 'rating': '10/10'}, {'review': 'Watch for the message', 'rating': '10/10'}, {'review': 'Educating while entertaining', 'rating': '10/10'}, {'review': 'did not meet expectations', 'rating': '3/10'}, {'review': 'Haluk Bilginer? Really?', 'rating': '1/10'}, {'review': 'Not a comedy but a nonsense', 'rating': '4/10'}, {'review': 'Not bad', 'rating': '5/10'}, {'review': ""everybody's a critic these days..."", 'rating': '10/10'}, {'review': 'Great scenario', 'rating': '10/10'}, {'review': 'Movie speaks so openly about violence against women.', 'rating': '10/10'}, {'review': 'Brilliant!', 'rating': '8/10'}, {'review': 'Haluk Bilinger is not to be missed.', 'rating': '8/10'}]}"
tm888080,The Last Days of American Crime,"June 5, 2020",149,"Action, Crime, Thriller",English,MOVIE,"In the not-too-distant future, as a final response to crime and terrorism, the U.S. government plans to broadcast a signal that will make it impossible for anyone to knowingly break the law.",UNKNOWN,tt1552211,3.7,11465.0,6.7,9.916,"{'imdb_id': 'tt1552211', 'comentarios': [{'review': 'Come on... this is such a waste of time.', 'rating': '2/10'}, {'review': ""Doesn't make any sense"", 'rating': '3/10'}, {'review': 'Bad', 'rating': '3/10'}, {'review': ""It didn't keep my interest"", 'rating': '3/10'}, {'review': 'Unwatchably bad', 'rating': '1/10'}, {'review': 'I feel a part of me died watching this', 'rating': '1/10'}, {'review': 'Way Too Long and Way Too Conventional', 'rating': '4/10'}, {'review': 'Far to long for far to little', 'rating': '2/10'}, {'review': 'Film so bad it makes anyone uncomfortable.', 'rating': '1/10'}, {'review': 'So bad. Could have been good.', 'rating': '4/10'}, {'review': 'Intensely boring', 'rating': '1/10'}, {'review': 'Dont waste your time', 'rating': '1/10'}, {'review': 'Holy s#!+ this was horrible...', 'rating': '2/10'}, {'review': 'Do yourself a favor and watch something else.', 'rating': '3/10'}, {'review': 'Felt like Tommy Wiseau made this one too', 'rating': '2/10'}, {'review': 'Waste of time', 'rating': '1/10'}, {'review': 'Some actually got paid to make this!!', 'rating': '2/10'}, {'review': 'To long and a terrible ending', 'rating': '1/10'}, {'review': '""So you want revenge. I want legacy"".', 'rating': '7/10'}, {'review': 'We all make bad choices', 'rating': '4/10'}, {'review': 'Too long and boring', 'rating': '1/10'}, {'review': 'Very shameful', 'rating': '1/10'}, {'review': 'Wow!', 'rating': '4/10'}, {'review': 'It was all going well until', 'rating': '5/10'}, {'review': 'good 30 minutes, awful 80 minutes', 'rating': 'Sin calificación'}]}"
tm370440,Paradox,"March 23, 2018",73,"Action, Science Fiction",English,MOVIE,A loud poem. A whimsical western tale of music and love.,UNKNOWN,tt7949046,3.9,713.0,3.6,5.157,"{'imdb_id': 'tt7949046', 'comentarios': [{'review': 'Neil Young was great, the rest - not so much', 'rating': '3/10'}, {'review': 'Neil, Willie (and sons!) and Some Great Music', 'rating': '5/10'}, {'review': 'You have to be stoned to find the story ...', 'rating': '7/10'}, {'review': 'Expecting to Fly', 'rating': '3/10'}, {'review': ""of course it's not hateful eight but still..."", 'rating': '7/10'}, {'review': 'Should have just been an album.', 'rating': '2/10'}, {'review': 'This movie should have been a full live performance', 'rating': '3/10'}, {'review': 'Terrible waste of time.', 'rating': '1/10'}, {'review': 'Highly recommended film - potentially a cult classic', 'rating': '10/10'}, {'review': 'Goofy and ultimately boring.', 'rating': '3/10'}, {'review': 'A joy to watch and listen to', 'rating': '10/10'}, {'review': 'Great music with great cinematography!', 'rating': '10/10'}, {'review': 'Transcendent', 'rating': '9/10'}, {'review': 'A noble and creative effort.', 'rating': '7/10'}, {'review': 'A great concept, usual, confusing yet satisfying, with great music!', 'rating': '9/10'}, {'review': ""$ and formulas are not Neil's style"", 'rating': '10/10'}, {'review': 'Young for fans', 'rating': '10/10'}, {'review': 'Waste of Time', 'rating': '1/10'}, {'review': 'bad copy of', 'rating': '2/10'}, {'review': 'Should Have Been Concert Video', 'rating': '1/10'}, {'review': '**Cool** Neal & Willie', 'rating': '10/10'}, {'review': 'NOT a traditional movie! But still GREAT!', 'rating': '9/10'}, {'review': 'Comment on Movie category', 'rating': '10/10'}, {'review': 'Amazing Film!!!!', 'rating': 'Sin calificación'}]}"
tm1036797,Sardar Ka Grandson,"May 18, 2021",139,"Comedy, Drama, Romance, Family",Hindi,MOVIE,"A devoted grandson's mission to reunite his ailing grandmother with her ancestral home turns into a complicated, comic cross-border affair.",UNKNOWN,tt11213600,4.1,4539.0,7.3,5.578,"{'imdb_id': 'tt11213600', 'comentarios': [{'review': ""I don't know why Neena Gupta agreed to do a film with World's most pathetic actor Arjun Kapoor"", 'rating': '1/10'}, {'review': 'Why Arjun kapoor .. why?', 'rating': '3/10'}, {'review': 'This is it. Arjun Kapoor should stop acting.', 'rating': '2/10'}, {'review': ""Netflix it's yours responsibility to give us good content"", 'rating': '1/10'}, {'review': ""Boney Kapoor's kids movies are always super flop"", 'rating': '1/10'}, {'review': 'Arjun Kapoor with Boring Acting', 'rating': '1/10'}, {'review': 'illogical....only loved ADITI RAO HYADRI performance', 'rating': '4/10'}, {'review': 'Stupidity at its heights', 'rating': '1/10'}, {'review': 'Netflix pls give my Subscription money back !!!!!!', 'rating': '1/10'}, {'review': 'Dull Boring👎👎👎', 'rating': '1/10'}, {'review': 'What a pathetic crap movie', 'rating': '1/10'}, {'review': 'Do yourself a favor by NOT watching this movie', 'rating': '1/10'}, {'review': 'Here we go again', 'rating': '1/10'}, {'review': 'Tom & Jerry is Much Better Than This', 'rating': '1/10'}, {'review': 'Irritating', 'rating': '3/10'}, {'review': 'Pathetic', 'rating': '1/10'}, {'review': 'Brilliant in patches, worth a watch', 'rating': '6/10'}, {'review': 'Netflix bring content', 'rating': '1/10'}, {'review': 'Garbage', 'rating': '2/10'}, {'review': 'MATLAB KUCH B?', 'rating': '1/10'}, {'review': 'Arjun Kapoor ruins a decent premise', 'rating': '6/10'}, {'review': 'Arjun Kapoor please quit', 'rating': '1/10'}, {'review': 'I usually stay away from foolish content but watched this by mistake', 'rating': '1/10'}, {'review': 'Netflix Fail', 'rating': '1/10'}, {'review': 'Waste of money', 'rating': '1/10'}]}"
